"evidence: CCMI","evidence: Co-dependence","evidence: mRNA co-expression","evidence: Physical","evidence: Protein co-expression","evidence: Sequence similarity","Integrated score","interaction","name","selected","shared interaction","shared name"
"0","0.064","0.427","0.002","0.18","0.015","0.329","interacts-with","GPNMB (interacts-with) LILRB1","false","interacts-with","GPNMB (interacts-with) LILRB1"
"0","0.015","0.433","0.002","0.049","0.015","0.229","interacts-with","SLAMF7 (interacts-with) SP140","false","interacts-with","SLAMF7 (interacts-with) SP140"
"0","0.174","0.167","0.272","0.02","0.036","0.203","interacts-with","LCE2A (interacts-with) LCE2B","false","interacts-with","LCE2A (interacts-with) LCE2B"
"0","0.053","0.418","0.041","0.128","0.002","0.29","interacts-with","GPNMB (interacts-with) LILRB2","false","interacts-with","GPNMB (interacts-with) LILRB2"
"0","0.093","0.392","0.116","0.154","0.342","0.386","interacts-with","NEB (interacts-with) TTN","false","interacts-with","NEB (interacts-with) TTN"
"0","0.409","0.435","0.187","0.502","0.348","0.449","interacts-with","ILK (interacts-with) VCL","false","interacts-with","ILK (interacts-with) VCL"
"0","0.167","0.355","0.003","0.052","0.104","0.201","interacts-with","LILRA2 (interacts-with) MGAM","false","interacts-with","LILRA2 (interacts-with) MGAM"
"0","0.026","0.195","0.414","0.198","0.092","0.248","interacts-with","DHX35 (interacts-with) PRPF8","false","interacts-with","DHX35 (interacts-with) PRPF8"
"0","0.004","0.194","0.173","0.381","0.014","0.341","interacts-with","APOB (interacts-with) C4B","false","interacts-with","APOB (interacts-with) C4B"
"0","0.003","0.367","0.182","0.313","0.009","0.232","interacts-with","EPPK1 (interacts-with) FAM83H","false","interacts-with","EPPK1 (interacts-with) FAM83H"
"0","0.024","0.349","0.124","0.376","0.036","0.247","interacts-with","RNF213 (interacts-with) ZNFX1","false","interacts-with","RNF213 (interacts-with) ZNFX1"
"0","0.164","0.334","0.406","0.131","0.004","0.288","interacts-with","KMT2D (interacts-with) SETD1A","false","interacts-with","KMT2D (interacts-with) SETD1A"
"0","0.059","0.302","0.036","0.02","0.036","0.209","interacts-with","ZNF559 (interacts-with) ZNF763","false","interacts-with","ZNF559 (interacts-with) ZNF763"
"0","0.059","0.393","0.376","0.453","0.003","0.324","interacts-with","AHNAK (interacts-with) AHNAK2","false","interacts-with","AHNAK (interacts-with) AHNAK2"
"0","0.016","0.481","0.06","0.055","0.164","0.294","interacts-with","FLG2 (interacts-with) KRT5","false","interacts-with","FLG2 (interacts-with) KRT5"
"0","0.037","0.384","0.014","0.02","0.036","0.182","interacts-with","ZNF85 (interacts-with) ZNF626","false","interacts-with","ZNF85 (interacts-with) ZNF626"
"0","0.104","0.412","0.12","0.02","0.036","0.196","interacts-with","ZNF85 (interacts-with) ZNF708","false","interacts-with","ZNF85 (interacts-with) ZNF708"
"0","0.022","0.296","0.45","0.02","0.036","0.4","interacts-with","NEB (interacts-with) XIRP1","false","interacts-with","NEB (interacts-with) XIRP1"
"0","0.012","0.418","0.183","0.065","0.142","0.323","interacts-with","EPPK1 (interacts-with) ESRP2","false","interacts-with","EPPK1 (interacts-with) ESRP2"
"0","0.042","0.54","0.171","0.052","0.094","0.426","interacts-with","FLG2 (interacts-with) KPRP","false","interacts-with","FLG2 (interacts-with) KPRP"
"0","0.022","0.247","0.368","0.191","0.086","0.229","interacts-with","DHX35 (interacts-with) SF3A3","false","interacts-with","DHX35 (interacts-with) SF3A3"
"0","0.063","0.325","0.079","0.042","0.015","0.202","interacts-with","ADH6 (interacts-with) CYP2A6","false","interacts-with","ADH6 (interacts-with) CYP2A6"
"0","0.032","0.299","0.501","0.224","0.005","0.58","interacts-with","SRRM2 (interacts-with) U2AF2","false","interacts-with","SRRM2 (interacts-with) U2AF2"
"0","0.004","0.379","0.156","0.089","0.008","0.29","interacts-with","ALDH3B1 (interacts-with) FCGR2A","false","interacts-with","ALDH3B1 (interacts-with) FCGR2A"
"0","0.125","0.353","0.46","0.557","0.014","0.68","interacts-with","C3 (interacts-with) CFH","false","interacts-with","C3 (interacts-with) CFH"
"0","0.051","0.346","0.13","0.367","0.036","0.205","interacts-with","FUBP1 (interacts-with) ZC3H4","false","interacts-with","FUBP1 (interacts-with) ZC3H4"
"0","0.153","0.154","0.371","0.164","0.016","0.211","interacts-with","DDX41 (interacts-with) SRRM2","false","interacts-with","DDX41 (interacts-with) SRRM2"
"0","0.091","0.432","0.025","0.092","0.011","0.303","interacts-with","CARD11 (interacts-with) SP140","false","interacts-with","CARD11 (interacts-with) SP140"
"0","0.021","0.339","0.002","0.046","0.206","0.183","interacts-with","CARD11 (interacts-with) SLAMF7","false","interacts-with","CARD11 (interacts-with) SLAMF7"
"0","0.036","0.147","0.109","0.494","0.003","0.299","interacts-with","ILK (interacts-with) NEFH","false","interacts-with","ILK (interacts-with) NEFH"
"0","0.017","0.284","0.641","0.065","0.095","0.694","interacts-with","EPC1 (interacts-with) TRRAP","false","interacts-with","EPC1 (interacts-with) TRRAP"
"0","0.103","0.467","0.186","0.113","0.014","0.283","interacts-with","ASH1L (interacts-with) BPTF","false","interacts-with","ASH1L (interacts-with) BPTF"
"0","0.191","0.385","0.004","0.002","0.094","0.231","interacts-with","KIR2DL1 (interacts-with) KIR3DL2","false","interacts-with","KIR2DL1 (interacts-with) KIR3DL2"
"0","0.026","0.408","0.1","0.429","0.011","0.442","interacts-with","ILK (interacts-with) MYH11","false","interacts-with","ILK (interacts-with) MYH11"
"0","0.091","0.3","0.08","0.038","0.099","0.22","interacts-with","KIR2DL1 (interacts-with) KIR2DL4","false","interacts-with","KIR2DL1 (interacts-with) KIR2DL4"
"0","0.014","0.29","0.4","0.247","0.011","0.25","interacts-with","DHX35 (interacts-with) SNRNP200","false","interacts-with","DHX35 (interacts-with) SNRNP200"
"0","0.008","0.097","0.463","0.073","0.036","0.336","interacts-with","NUP153 (interacts-with) RGPD8","false","interacts-with","NUP153 (interacts-with) RGPD8"
"0","0.054","0.373","0.03","0.086","0.009","0.208","interacts-with","FCGR2A (interacts-with) TRPM2","false","interacts-with","FCGR2A (interacts-with) TRPM2"
"0","0.189","0.175","0.136","0.105","0.348","0.275","interacts-with","ENAH (interacts-with) WASF3","false","interacts-with","ENAH (interacts-with) WASF3"
"0","0.024","0.452","0.13","0.242","0.122","0.258","interacts-with","FRG1 (interacts-with) KHDRBS1","false","interacts-with","FRG1 (interacts-with) KHDRBS1"
"0","0.085","0.302","0.443","0.362","0.21","0.461","interacts-with","GSN (interacts-with) MYO1C","false","interacts-with","GSN (interacts-with) MYO1C"
"0","0.069","0.456","0.448","0.118","0.13","0.461","interacts-with","KMT2B (interacts-with) KMT2D","false","interacts-with","KMT2B (interacts-with) KMT2D"
"0","0.08","0.268","0.427","0.233","0.092","0.254","interacts-with","INF2 (interacts-with) MYO1C","false","interacts-with","INF2 (interacts-with) MYO1C"
"0","0.107","0.176","0.523","0.085","0.343","0.687","interacts-with","TRAF2 (interacts-with) TRAF3","false","interacts-with","TRAF2 (interacts-with) TRAF3"
"0","0.023","0.184","0.224","0.168","0.036","0.182","interacts-with","BOD1 (interacts-with) CHD8","false","interacts-with","BOD1 (interacts-with) CHD8"
"0","0.046","0.394","0.014","0.268","0.036","0.269","interacts-with","CARD11 (interacts-with) WDFY4","false","interacts-with","CARD11 (interacts-with) WDFY4"
"0","0.002","0.406","0.001","0.125","0.135","0.214","interacts-with","STAB1 (interacts-with) TRPM2","false","interacts-with","STAB1 (interacts-with) TRPM2"
"0","0.146","0.308","0.366","0.327","0.004","0.229","interacts-with","INF2 (interacts-with) PLEC","false","interacts-with","INF2 (interacts-with) PLEC"
"0","0.03","0.344","0.52","0.248","0.078","0.532","interacts-with","BCLAF1 (interacts-with) SRRM2","false","interacts-with","BCLAF1 (interacts-with) SRRM2"
"0","0.008","0.578","0.061","0.02","0.036","0.415","interacts-with","USP9Y (interacts-with) UTY","false","interacts-with","USP9Y (interacts-with) UTY"
"0","0.076","0.092","0.053","0.085","0.551","0.227","interacts-with","FGFR3 (interacts-with) NRAS","false","interacts-with","FGFR3 (interacts-with) NRAS"
"0","0.022","0.356","0.053","0.307","0.072","0.262","interacts-with","COL5A1 (interacts-with) PTK7","false","interacts-with","COL5A1 (interacts-with) PTK7"
"0","0.004","0.417","0.052","0.122","0.003","0.277","interacts-with","ALDH3B1 (interacts-with) LILRB2","false","interacts-with","ALDH3B1 (interacts-with) LILRB2"
"0","0.033","0.318","0.002","0.053","0.014","0.21","interacts-with","KIR2DL4 (interacts-with) KIR3DL2","false","interacts-with","KIR2DL4 (interacts-with) KIR3DL2"
"0","0.011","0.382","0.044","0.089","0.075","0.234","interacts-with","ALDH3B1 (interacts-with) LILRB1","false","interacts-with","ALDH3B1 (interacts-with) LILRB1"
"0","0.035","0.295","0.08","0.006","0.016","0.184","interacts-with","KIR2DL4 (interacts-with) KLRC2","false","interacts-with","KIR2DL4 (interacts-with) KLRC2"
"0","0.008","0.365","0.014","0.02","0.036","0.193","interacts-with","ASB12 (interacts-with) MYH7","false","interacts-with","ASB12 (interacts-with) MYH7"
"0","0.008","0.353","0.014","0.02","0.036","0.192","interacts-with","ASB12 (interacts-with) MYH6","false","interacts-with","ASB12 (interacts-with) MYH6"
"0","0.158","0.201","0.457","0.098","0.371","0.413","interacts-with","MYO1C (interacts-with) MYO5B","false","interacts-with","MYO1C (interacts-with) MYO5B"
"0","0.136","0.46","0.041","0.066","0.096","0.305","interacts-with","MYH6 (interacts-with) MYLK3","false","interacts-with","MYH6 (interacts-with) MYLK3"
"0","0.205","0.659","0.391","0.543","0.343","0.623","interacts-with","HLA-B (interacts-with) HLA-C","false","interacts-with","HLA-B (interacts-with) HLA-C"
"0","0.024","0.451","0.004","0.063","0.073","0.267","interacts-with","MYH6 (interacts-with) MYO18B","false","interacts-with","MYH6 (interacts-with) MYO18B"
"0","0.019","0.374","0.06","0.344","0.112","0.255","interacts-with","HLA-B (interacts-with) HLA-DQA1","false","interacts-with","HLA-B (interacts-with) HLA-DQA1"
"0","0.081","0.364","0.028","0.056","0.155","0.222","interacts-with","MYO18B (interacts-with) RYR1","false","interacts-with","MYO18B (interacts-with) RYR1"
"0","0.063","0.116","0.026","0.254","0.519","0.208","interacts-with","SEC61A2 (interacts-with) STT3B","false","interacts-with","SEC61A2 (interacts-with) STT3B"
"0","0.005","0.372","0.163","0.168","0.119","0.181","interacts-with","PRIM2 (interacts-with) RAD54B","false","interacts-with","PRIM2 (interacts-with) RAD54B"
"0","0.112","0.404","0.005","0.007","0.015","0.263","interacts-with","HLA-B (interacts-with) HLA-DQA2","false","interacts-with","HLA-B (interacts-with) HLA-DQA2"
"0","0.05","0.268","0.066","0.339","0.074","0.201","interacts-with","ILK (interacts-with) PGM5","false","interacts-with","ILK (interacts-with) PGM5"
"0","0.022","0.403","0.107","0.377","0.004","0.367","interacts-with","FCGR2A (interacts-with) GPNMB","false","interacts-with","FCGR2A (interacts-with) GPNMB"
"0","0.122","0.17","0.156","0.221","0.343","0.423","interacts-with","TRAF2 (interacts-with) YWHAZ","false","interacts-with","TRAF2 (interacts-with) YWHAZ"
"0","0.068","0.467","0.048","0.071","0.002","0.308","interacts-with","MYH6 (interacts-with) NEB","false","interacts-with","MYH6 (interacts-with) NEB"
"0","0.024","0.323","0.059","0.332","0.081","0.271","interacts-with","HLA-B (interacts-with) HLA-DRB5","false","interacts-with","HLA-B (interacts-with) HLA-DRB5"
"0","0.158","0.283","0.408","0.37","0.085","0.285","interacts-with","GSN (interacts-with) PLEC","false","interacts-with","GSN (interacts-with) PLEC"
"0","0.249","0.317","0.385","0.175","0.214","0.25","interacts-with","DDX41 (interacts-with) U2AF2","false","interacts-with","DDX41 (interacts-with) U2AF2"
"0","0.044","0.396","0.001","0.056","0.091","0.243","interacts-with","MYO18B (interacts-with) TTN","false","interacts-with","MYO18B (interacts-with) TTN"
"0","0.142","0.228","0.394","0.156","0.014","0.216","interacts-with","INF2 (interacts-with) SVIL","false","interacts-with","INF2 (interacts-with) SVIL"
"0","0.33","0.387","0.374","0.491","0.443","0.483","interacts-with","MYH6 (interacts-with) MYH7","false","interacts-with","MYH6 (interacts-with) MYH7"
"0","0.034","0.401","0.005","0.006","0.009","0.24","interacts-with","LILRA2 (interacts-with) SIRPB1","false","interacts-with","LILRA2 (interacts-with) SIRPB1"
"0","0.03","0.424","0.028","0.003","0.006","0.268","interacts-with","HLA-DQA2 (interacts-with) HLA-DQB2","false","interacts-with","HLA-DQA2 (interacts-with) HLA-DQB2"
"0","0.048","0.418","0.0","0.075","0.01","0.254","interacts-with","MYH6 (interacts-with) SCN4A","false","interacts-with","MYH6 (interacts-with) SCN4A"
"0","0.024","0.405","0.063","0.001","0.006","0.279","interacts-with","KPRP (interacts-with) KRT5","false","interacts-with","KPRP (interacts-with) KRT5"
"0","0.021","0.436","0.024","0.258","0.016","0.291","interacts-with","LILRB1 (interacts-with) STAB1","false","interacts-with","LILRB1 (interacts-with) STAB1"
"0","0.048","0.311","0.014","0.415","0.036","0.233","interacts-with","ZNF587 (interacts-with) ZNF594","false","interacts-with","ZNF587 (interacts-with) ZNF594"
"0","0.189","0.253","0.247","0.253","0.108","0.205","interacts-with","KMT2B (interacts-with) NIPBL","false","interacts-with","KMT2B (interacts-with) NIPBL"
"0","0.002","0.407","0.014","0.153","0.036","0.224","interacts-with","LILRB1 (interacts-with) SIGLEC1","false","interacts-with","LILRB1 (interacts-with) SIGLEC1"
"0","0.004","0.203","0.173","0.487","0.013","0.463","interacts-with","C4B (interacts-with) CFH","false","interacts-with","C4B (interacts-with) CFH"
"0","0.03","0.459","0.043","0.25","0.006","0.285","interacts-with","LILRB1 (interacts-with) SIRPA","false","interacts-with","LILRB1 (interacts-with) SIRPA"
"0","0.018","0.396","0.136","0.079","0.003","0.317","interacts-with","MYH6 (interacts-with) PDE4DIP","false","interacts-with","MYH6 (interacts-with) PDE4DIP"
"0","0.04","0.428","0.001","0.198","0.078","0.307","interacts-with","DYSF (interacts-with) PLXND1","false","interacts-with","DYSF (interacts-with) PLXND1"
"0","0.052","0.363","0.067","0.0","0.082","0.209","interacts-with","MYH6 (interacts-with) OBSCN","false","interacts-with","MYH6 (interacts-with) OBSCN"
"0","0.021","0.404","0.001","0.059","0.082","0.236","interacts-with","MYH6 (interacts-with) RYR1","false","interacts-with","MYH6 (interacts-with) RYR1"
"0","0.112","0.303","0.529","0.299","0.072","0.523","interacts-with","ARID1B (interacts-with) ARID2","false","interacts-with","ARID1B (interacts-with) ARID2"
"0","0.078","0.189","0.344","0.221","0.036","0.187","interacts-with","SCAF1 (interacts-with) SRRM2","false","interacts-with","SCAF1 (interacts-with) SRRM2"
"0","0.089","0.13","0.476","0.338","0.149","0.423","interacts-with","ITPR1 (interacts-with) ITPR2","false","interacts-with","ITPR1 (interacts-with) ITPR2"
"0","0.329","0.338","0.139","0.545","0.498","0.392","interacts-with","BMS1 (interacts-with) WDR3","false","interacts-with","BMS1 (interacts-with) WDR3"
"0","0.058","0.242","0.177","0.548","0.012","0.396","interacts-with","COL5A1 (interacts-with) COL14A1","false","interacts-with","COL5A1 (interacts-with) COL14A1"
"0","0.016","0.337","0.084","0.064","0.036","0.201","interacts-with","TTN (interacts-with) XIRP1","false","interacts-with","TTN (interacts-with) XIRP1"
"0","0.171","0.4","0.428","0.317","0.161","0.311","interacts-with","MYO1C (interacts-with) PLEC","false","interacts-with","MYO1C (interacts-with) PLEC"
"0","0.035","0.132","0.463","0.18","0.139","0.389","interacts-with","CCNT1 (interacts-with) MLLT1","false","interacts-with","CCNT1 (interacts-with) MLLT1"
"0","0.067","0.456","0.094","0.089","0.441","0.375","interacts-with","MYH6 (interacts-with) TTN","false","interacts-with","MYH6 (interacts-with) TTN"
"0","0.039","0.237","0.4","0.22","0.015","0.239","interacts-with","PLEC (interacts-with) SVIL","false","interacts-with","PLEC (interacts-with) SVIL"
"0","0.003","0.456","0.014","0.02","0.036","0.224","interacts-with","ZNF420 (interacts-with) ZNF527","false","interacts-with","ZNF420 (interacts-with) ZNF527"
"0","0.067","0.306","0.5","0.153","0.036","0.489","interacts-with","ARID1B (interacts-with) BCL7A","false","interacts-with","ARID1B (interacts-with) BCL7A"
"0","0.029","0.506","0.077","0.351","0.005","0.383","interacts-with","ASH1L (interacts-with) KMT2C","false","interacts-with","ASH1L (interacts-with) KMT2C"
